CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
47;SR3T;OFF;145,637500;DUP-;0,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6375;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
48;SR3WT;OFF;439,325000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,325;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
49;SR3X;OFF;145,762500;DUP-;0,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
50;SR3XXX;OFF;438,700000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,7;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
51;SR3Z;OFF;145,712500;DUP-;0,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7125;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
52;SR3ZG;OFF;439,075000;DUP-;7,600000;FM;OFF;2;TONE;203,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,075;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
53;SR3ZJ;OFF;438,750000;DUP-;7,600000;FM;OFF;2;TONE;79,7Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,75;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
54;SR4BS;OFF;439,025000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,025;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
55;SR4D;OFF;145,787500;DUP-;0,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7875;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
56;SR4DG;OFF;438,862500;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,8625;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
