CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
11;SR9JK;OFF;438,800000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,8;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
12;SR9K;OFF;145,750000;DUP-;0,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,75;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
13;SR9KD;OFF;438,950000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,95;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
14;SR9KM;OFF;438,975000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,975;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
15;SR9KS;OFF;438,900000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,9;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
16;SR9KW;OFF;439,025000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,025;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
17;SR9L;OFF;145,687500;DUP-;0,600000;FM;OFF;2;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6875;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
18;SR9LC;OFF;438,700000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,7;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
19;SR9NJ;OFF;438,700000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,7;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
20;SR9NS;OFF;439,225000;DUP-;7,600000;FM;OFF;2;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,225;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
21;SR9OA;OFF;438,750000;DUP-;7,600000;FM;OFF;2;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,75;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
22;SR9P;OFF;145,662500;DUP-;0,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
23;SR9PC;OFF;438,850000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,85;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
